cjis,statutory_code,code_type,literal_display,t,lei,hier,sc,offense_descr,parens,PC1192_7_C,PC1192_8,PC667_5,code_section
11087,261(A)(4)(C),PC,RAPE:VICTIM OF PERP FRAUD,F,610,5400,4,261(A)(4)(C) PC-RAPE:VICTIM OF PERP FRAUD,NA,TRUE,NA,NA,F_PC_261(A)(4)(C)
11088,261(A)(4)(D),PC,RAPE:VIC UNAWR:FRAUD MISR,F,610,5400,4,NA,NA,TRUE,NA,NA,F_PC_261(A)(4)(D)
11089,269(A),PC,AGG SEX ASSLT:CHILD -14,F,621,2435,4,269(A) PC-AGG SEX ASSLT:CHILD -14 OR 10YS YNGR,NA,TRUE,NA,TRUE,F_PC_269(A)
11091,220(A),PC,ASLT:W/INTENT TO RAPE,F,620,11800,4,220(A) PC-ASLT:W/INTENT TO RAPE,NA,TRUE,NA,TRUE,F_PC_220(A)
11092,220(B),PC,ASLT:INTENT RAPE IN 459,F,620,1760,4,220(B) PC-ASLT:INTENT RAPE IN 459,NA,TRUE,NA,TRUE,F_PC_220(B)
11095,220,PC,ASLT W/INT COMT RAPE/ETC,F,620,11800,4,220 PC-ASLT W/INT COMMIT RAPE/SDMY/ETC,NA,TRUE,NA,TRUE,F_PC_220
11096,220(A)(1),PC,ASSAULT:W/INTENT TO RAPE,F,620,11800,4,220(A)(1) PC-ASSAULT:W/INTENT TO RAPE,NA,TRUE,NA,TRUE,F_PC_220(A)(1)
11097,264.1(A),PC,RAPE/ETC:CNCRT FORCE/VIOL,F,635,3300,4,264.1(A) PC-RAPE/ETC:CONCERT W/FORCE/VIOL,NA,TRUE,NA,NA,F_PC_264.1(A)
11098,264.1(B)(1),PC,RAPE:CNCRT/FORCE:CHILD-14,F,635,2492,4,264.1(B)(1) PC-RAPE:CONCERT W/FORCE:CHILD-14,NA,TRUE,NA,NA,F_PC_264.1(B)(1)
11099,264.1(B)(2),PC,RAPE:CNCRT/FORCE:MNR 14+,F,635,2497,4,264.1(B)(2) PC-RAPE:CONCERT W/FORCE:MNR 14+,NA,TRUE,NA,NA,F_PC_264.1(B)(2)
11100,289(A)(1)(A),PC,SEX PENETRATION:FORCE/ETC,F,705,6200,4,289(A)(1)(A) PC-SEXUAL PENETRATION W/FORCE/ETC,NA,TRUE,NA,TRUE,F_PC_289(A)(1)(A)
11101,289(A)(1)(B),PC,SEX PENTRATION FORCE/ETC,F,705,2496,4,289(A)(1)(B) PC-SEX PENTRATION W/FORCE/ETC -14,NA,TRUE,NA,TRUE,F_PC_289(A)(1)(B)
11102,289(A)(1)(C),PC,SEX PENTRATION FORCE/ETC,F,705,2602,4,289(A)(1)(C) PC-SEX PENTRATION W/FORCE ETC 14+,NA,TRUE,NA,TRUE,F_PC_289(A)(1)(C)
11103,261(A)(5),PC,RAPE:VICT KNOWS PERSON,F,610,5400,4,261(A)(5) PC-RAPE:VICT UNDR BELIEF KNOW PERSON,NA,TRUE,NA,NA,F_PC_261(A)(5)
11106,220(A)(2),PC,ASSAULT:-18 W/INT TO RAPE,F,620,3300,4,220(A)(2) PC-ASSAULT:-18 YRS W/INTENT TO RAPE,NA,TRUE,NA,TRUE,F_PC_220(A)(2)
13015,220,PC,ASLT COMMIT RAPE/ROB/ETC,F,0,11800,4,220 PC-ASSAULT TO COMMIT RAPE/ROBBERY/ETC,NA,NA,NA,TRUE,F_PC_220
36043,286(C),PC,SODOMY:UNDER 14 OR W/FORC,F,732,5800,4,286(C) PC-SODOMY W/PERSON UND 14 YR OR W/FORCE,NA,TRUE,NA,TRUE,F_PC_286(C)
36044,286(D),PC,SODOMY IN CONCERT W/FORCE,F,731,3600,4,286(D) PC-SODOMY IN CONCERT WITH FORCE,NA,TRUE,NA,TRUE,F_PC_286(D)
36075,289(J),PC,SEX PEN:F/OBJ/ETC:VIC -14,F,705,6200,4,289(J) PC-SEX PEN:W/FOREIGN OBJ/ETC:VIC -14,NA,NA,NA,TRUE,F_PC_289(J)
36143,286(C)(1),PC,SODOMY:PERSON UNDER 14,F,732,5800,4,286(C)(1) PC-SODOMY:PERSON UNDER 14/ETC,NA,TRUE,NA,TRUE,F_PC_286(C)(1)
36146,286(C)(2),PC,SODOMY:USE FORCE/INJURY,F,732,5800,4,286(C)(2) PC-SODOMY:BY USE OF FORCE/INJURY,NA,TRUE,NA,TRUE,F_PC_286(C)(2)
36152,286(C)(3),PC,SODOMY BY THREAT,F,732,5800,4,286(C)(3) PC-SODOMY BY THREAT/RETALIATE,NA,TRUE,NA,TRUE,F_PC_286(C)(3)
36172,288.7(A),PC,SDMY:VICTIM UNDER 10YRS,F,621,2230,4,288.7(A) PC-SODOMY:VICTIM UNDER 10YRS,NA,TRUE,NA,TRUE,F_PC_288.7(A)
36173,288.7(B),PC,ORAL COP:VICT UNDER 10YRS,F,621,2435,4,288.7(B) PC-ORAL COP:VICTIM UNDER 10YRS,NA,TRUE,NA,TRUE,F_PC_288.7(B)
36270,286(C),PC,SODOMY W/MNR UNDER 14 YRS,F,732,5800,4,286(C) PC-SODOMY WITH MINOR UNDER 14 YRS,NA,TRUE,NA,TRUE,F_PC_286(C)
36271,286(C),PC,SODOMY WITH FORCE,F,732,5800,4,286(C) PC-SODOMY WITH FORCE,NA,TRUE,NA,TRUE,F_PC_286(C)
36272,286(C)(2),PC,PRIOR CODE:SDMY W/MNR-14,F,732,5800,4,286(C)(2) PC-PRIOR CODE:SODOMY W/MNR -14,NA,NA,NA,TRUE,F_PC_286(C)(2)
36273,286(C)(2),PC,PRIOR CODE:SODOMY W/FORCE,F,732,5800,4,286(C)(2) PC-PRIOR CODE:SODOMY WITH FORCE,NA,TRUE,NA,TRUE,F_PC_286(C)(2)
36283,286(C)(2)(A),PC,SODOMY BY FORCE/VIOL/FEAR,F,731,5800,4,286(C)(2)(A) PC-SODOMY BY FORCE/VIOLENCE/FEAR,NA,TRUE,NA,TRUE,F_PC_286(C)(2)(A)
36284,286(C)(2)(B),PC,SODOMY BY FORCE/VIOL -14,F,732,2494,4,286(C)(2)(B) PC-SODOMY BY FORCE/VIOL/FEAR -14,NA,TRUE,NA,TRUE,F_PC_286(C)(2)(B)
36285,286(C)(2)(C),PC,SODOMY BY FORCE/VIOL +14,F,731,2497,4,286(C)(2)(C) PC-SODOMY BY FORCE/VIOL/FEAR +14,NA,TRUE,NA,TRUE,F_PC_286(C)(2)(C)
36286,286(D)(1),PC,SODOMY IN CONCERT W/FORCE,F,731,3600,4,286(D)(1) PC-SODOMY IN CONCERT WITH FORCE,NA,TRUE,NA,TRUE,F_PC_286(D)(1)
36298,287(B)(1),PC,ORAL COPULATION:-18 YRS,F,713,37825,4,NA,NA,TRUE,NA,NA,F_PC_287(B)(1)
36300,287(B)(2),PC,ORAL COPULATION:-16 YRS,F,713,37825,4,NA,NA,TRUE,NA,NA,F_PC_287(B)(2)
36301,287(C)(1),PC,ORAL COPULATION:-14 YRS,F,712,5600,4,NA,NA,TRUE,NA,TRUE,F_PC_287(C)(1)
36302,287(C)(2)(A),PC,ORAL COP:USE FORCE/INJURY,F,712,5600,4,NA,NA,TRUE,NA,TRUE,F_PC_287(C)(2)(A)
36303,287(C)(2)(B),PC,ORAL COP:-14 FORCE/INJURY,F,712,2496,4,NA,NA,TRUE,NA,TRUE,F_PC_287(C)(2)(B)
36304,287(C)(2)(C),PC,ORAL COP:14+ FORCE/INJURY,F,713,2602,4,NA,NA,TRUE,NA,TRUE,F_PC_287(C)(2)(C)
36305,287(C)(3),PC,ORAL COP:THREAT RETALIATE,F,711,5600,4,NA,NA,TRUE,NA,TRUE,F_PC_287(C)(3)
36306,287(D)(1)(A),PC,ORAL COP IN CONCRT W/FORC,F,711,3400,4,NA,NA,TRUE,NA,TRUE,F_PC_287(D)(1)(A)
36307,287(D)(1)(B),PC,ORAL COP CONCERT:THREAT,F,711,3400,4,NA,NA,TRUE,NA,TRUE,F_PC_287(D)(1)(B)
36308,287(D)(1)(C),PC,ORAL COP CNCRT:VIC INCAPB,F,711,3400,4,NA,NA,TRUE,NA,TRUE,F_PC_287(D)(1)(C)
36309,287(D)(2),PC,ORAL COP:CONCRT:FORCE -14,F,711,2492,4,NA,NA,TRUE,NA,TRUE,F_PC_287(D)(2)
36311,287(E),PC,ORAL COP:IN PRISON/JAIL,F,714,37830,4,NA,NA,TRUE,NA,NA,F_PC_287(E)
36313,287(F),PC,ORAL COP:VIC UNCON OF ACT,F,714,5700,4,NA,NA,TRUE,NA,NA,F_PC_287(F)
36314,287(G),PC,ORAL COP:VIC INCAP CONSNT,F,714,5700,4,NA,NA,TRUE,NA,NA,F_PC_287(G)
36315,287(H),PC,ORAL COP:VIC IN STATE HOS,F,714,37830,4,NA,NA,TRUE,NA,NA,F_PC_287(H)
36317,287(I),PC,ORAL COP:VICTIM INTOX/ETC,F,714,5700,4,NA,NA,TRUE,NA,NA,F_PC_287(I)
36318,287(J),PC,ORAL COP:BY IMPERSONATION,F,711,5700,4,NA,NA,TRUE,NA,NA,F_PC_287(J)
36319,287(K),PC,ORAL COP:THRT ARR/DEPORT,F,714,5700,4,NA,NA,TRUE,NA,NA,F_PC_287(K)
36320,287(F)(1),PC,ORAL COP:VIC UNCON/ASLEEP,F,714,5700,4,NA,NA,TRUE,NA,NA,F_PC_287(F)(1)
36321,287(F)(2),PC,ORAL COP:VIC UNAWARE,F,714,5700,4,NA,NA,TRUE,NA,NA,F_PC_287(F)(2)
36322,287(F)(3),PC,ORAL COP:PERP FRAUD,F,714,5700,4,NA,NA,TRUE,NA,NA,F_PC_287(F)(3)
36323,287(F)(4),PC,ORAL COP:FRAUD PROF PURP,F,714,5700,4,NA,NA,TRUE,NA,NA,F_PC_287(F)(4)
39310,287(D)(3),PC,ORAL COP:CONCRT:FORCE 14+,F,711,2496,4,NA,NA,TRUE,NA,TRUE,F_PC_287(D)(3)
9150,192(C)(1),PC,VEH MANSL W/GROSS NEG,F,160,11100,3,192(C)(1) PC-VEH MANSL W/GROSS NEGLIGENCE,NA,TRUE,TRUE,NA,F_PC_192(C)(1)
9157,191.5(A),PC,GR VEH MANSL WHILE INTOX,F,160,4200,3,191.5(A) PC-GROSS VEH MANSL WHILE INTOXICATED,NA,NA,TRUE,NA,F_PC_191.5(A)
9160,192.5,PC,VEH MANSL/VESSEL W/GR NEG,F,0,11100,3,192.5 PC-VEH MANSL/VESSEL W/GROSS NEGLIGENCE,NA,TRUE,NA,NA,F_PC_192.5
9177,192.5(A),PC,VEH MNSL W/VESSL W/GR NEG,F,160,4200,3,192.5(A) PC-VEH MNSL WITH VESSEL W/GROSS NEG,NA,TRUE,TRUE,NA,F_PC_192.5(A)
9179,192.5(C),PC,V/MNSL:VES:ALC/DRG:NO NEG,F,160,23250,3,192.5(C) PC-VEH MNSL W/VES:ALC/DRUG W/O GR NEG,NA,TRUE,TRUE,NA,F_PC_192.5(C)
