cjis,statutory_code,code_type,literal_display,t,lei,hier,sc,offense_descr,parens,PC1192_7_C,PC1192_8,PC667_5,code_section
20018,451(A),PC,ARSON CAUSING GBI,F,927,3800,24,451(A) PC-ARSON CAUSING GREAT BODILY INJURY,NA,TRUE,NA,TRUE,F_PC_451(A)
20019,451(B),PC,ARSON:INHABITED STRUCTURE,F,920,7200,24,451(B) PC-ARSON:INHABITED STRUCTURE/PROPERTY,NA,TRUE,NA,TRUE,F_PC_451(B)
20020,451(C),PC,ARSON:FOREST LAND,F,921,13200,24,451(C) PC-ARSON:STRUCTURE/FOREST LAND,NA,TRUE,NA,NA,F_PC_451(C)
20026,453(A),PC,POS/ETC ARSON MATERIL/DEV,F,922,69000,24,453(A) PC-POSS/ETC MATERIAL/DEVICE FOR ARSON,NA,TRUE,NA,NA,F_PC_453(A)
20028,455,PC,AID IN ARSON,F,923,34300,24,455 PC-ATTEMPT/AID/COUNSEL/PROCURE ARSON,NA,TRUE,NA,NA,F_PC_455
20036,451(D),PC,ARSON:PROPERTY,F,924,36900,24,451(D) PC-ARSON:PROPERTY,NA,TRUE,NA,NA,F_PC_451(D)
20038,454(A)(1),PC,ARSON:STATE OF INSURRECTN,F,925,8500,24,454(A)(1) PC-ARSON:STATE OF INSURRECTION,NA,TRUE,NA,NA,F_PC_454(A)(1)
20039,454(A)(2),PC,ARSON:STATE EMERGENCY,F,925,8500,24,454(A)(2) PC-ARSON DURING STATE EMERGENCY,NA,TRUE,NA,NA,F_PC_454(A)(2)
20041,451.5(A)(1),PC,AGGRAVATED ARSON W/PRIOR,F,927,2490,24,451.5(A)(1) PC-AGGRAVATED ARSON WITH PRIOR,NA,TRUE,NA,TRUE,F_PC_451.5(A)(1)
20052,451.5(A),PC,AGGRAVATED ARSON,F,924,2490,24,451.5(A) PC-AGGRAVATED ARSON,NA,TRUE,NA,TRUE,F_PC_451.5(A)
